Hieroglyph,Gardiner,Description,Ideogram,,,,
𓀀,A1,seated man,"I, me, my (masculine) (.j)",,,,
𓀁,A2,man with hand to mouth,eat (wnm),,,,
𓀁,A2,man with hand to mouth,drink (zwr),,,,
𓀁,A2,man with hand to mouth,"speak, think, recount (sḏd)",,,,
𓀁,A2,man with hand to mouth,"refrain from speech, be(come) silent (gr)",,,,
𓀁,A2,man with hand to mouth,"plan, plot (kꜣj)",,,,
𓀁,A2,man with hand to mouth,love (mrj),,,,
𓀂,A3,man sitting on heel,"sit, besiege, dwell (ḥmsj)",,,,
𓀂,A3,man sitting on heel,"sit, besiege, dwell (ḥmsj)",,,,
𓀃,A4,seated man with hands raised,"offer, praise, beseech (dwꜣ)",,,,
𓀃,A4,seated man with hands raised,"hide, conceal (jmn)",,,,
𓀄,A5,crouching man hiding behind wall,hide (jmn),,,,
𓀄,A5,crouching man hiding behind wall,hide (jmn),,,,
𓀅,A5A,seated man hiding behind wall,hide (jmn),,,,
𓀅,A5A,seated man hiding behind wall,hide (jmn),,,,
𓀆,A6,seated man under vase from which water flows,to be clean (wꜤb),,,,
𓀆,A6,seated man under vase from which water flows,to be clean (wꜤb),,,,
𓀇,A6A,"seated man reaching for libation stone, under vase from which water flows",to be clean (wꜤb),,,,
𓀇,A6A,"seated man reaching for libation stone, under vase from which water flows",to be clean (wꜤb),,,,
𓀈,A6B,"seated man reaching down, under vase from which water flows",to be clean (wꜤb),,,,
𓀈,A6B,"seated man reaching down, under vase from which water flows",to be clean (wꜤb),,,,
𓀉,A7,fatigued man,to be tired or weak (wrḏ),,,,
𓀉,A7,fatigued man,to be tired or weak (wrḏ),,,,
𓀊,A8,man performing hnw-rite,"rejoice, celebrate, to be jubilant (hnw)",,,,
𓀊,A8,man performing hnw-rite,"rejoice, celebrate, to be jubilant (hnw)",,,,
𓀋,A9,man steadying basket on head,"work, toil (kꜣt)",,,,
𓀋,A9,man steadying basket on head,"load (verb or noun), burden (ꜣdp)",,,,
𓀋,A9,man steadying basket on head,"carry, haul (fꜣj)",,,,
𓀌,A10,seated man holding oar,to saw (sqdw),,,,
𓀌,A10,seated man holding oar,"rower, oarsman (ẖn)",,,,
𓀍,A11,seated man holding scepter of authority and shepherd's crook,friend (ḫnms),,,,
𓀍,A11,seated man holding scepter of authority and shepherd's crook,friend (ḫnms),,,,
𓀎,A12,soldier with bow and quiver,"soldier, company/unit of soldiers (mnfyt), army/expedition (mšꜥ)",,,,
𓀎,A12,soldier with bow and quiver,"soldier, company/unit of soldiers (mnfyt), army/expedition (mšꜥ)",,,,
𓀏,A13,man with arms tied behind his back,enemy (ḫfty),,,,
𓀏,A13,man with arms tied behind his back,rebel (sbj),,,,
𓀐,A14,falling man with blood streaming from his head,die (mwt),,,,
𓀐,A14,falling man with blood streaming from his head,enemy (ḫfty),,,,
𓀑,A14A,man whose head is hit with an axe,enemy (ḫfty),,,,
𓀑,A14A,man whose head is hit with an axe,enemy (ḫfty),,,,
𓀒,A15,man falling,trap (ḫr),,,,
𓀒,A15,man falling,trap (ḫr),,,,
𓀓,A16,man bowing down,to bend or bow oneself (ksj),,,,
𓀓,A16,man bowing down,to bend or bow oneself (ksj),,,,
𓀔,A17,child sitting with hand to mouth,"young, child (šrj)",,,,
𓀔,A17,child sitting with hand to mouth,orphan (nmḥ),,,,
𓀔,A17,child sitting with hand to mouth,"child (ẖrd, ḫy)",,,,
𓀔,A17,child sitting with hand to mouth,infant (nnj),,,,
𓀕,A17A,child sitting with arms hanging down,"Noble/Aristocratic Supplement for A3 and A17 sitting, sitting youth",,,,
𓀕,A17A,child sitting with arms hanging down,"Noble/Aristocratic Supplement for A3 and A17 sitting, sitting youth",,,,
𓀖,A18,child wearing red crown,foster child (jmty),,,,
𓀖,A18,child wearing red crown,foster child (jmty),,,,
𓀗,A19,bent man leaning on staff,"old, to be fragile (jꜣw)",,,,
𓀗,A19,bent man leaning on staff,elder (smsw),,,,
𓀗,A19,bent man leaning on staff,great (wr),,,,
𓀗,A19,bent man leaning on staff,to lean (rhn),,,,
𓀗,A19,bent man leaning on staff,to hit (ḥwj),,,,
𓀘,A20,man leaning on forked staff,elder (smsw),,,,
𓀘,A20,man leaning on forked staff,elder (smsw),,,,
𓀙,A21,man holding staff with handkerchief,Civil Servant (sr),,,,
𓀙,A21,man holding staff with handkerchief,Courtier (smr),,,,
𓀙,A21,man holding staff with handkerchief,great (wr),,,,
𓀙,A21,man holding staff with handkerchief,strike (ḥwj),,,,
𓀚,A22,statue of man with staff and scepter of authority,"statue (ḥnṯ), (twt)",,,,
𓀚,A22,statue of man with staff and scepter of authority,"statue (ḥnṯ), (twt)",,,,
𓀛,A23,king with staff and mace with round head,"monarch, lord, ruler(jty)",,,,
𓀛,A23,king with staff and mace with round head,"monarch, lord, ruler(jty)",,,,
𓀜,A24,man striking with both hands,to hit or strike (ḥwj),,,,
𓀜,A24,man striking with both hands,"power, strength (nḫt)",,,,
𓀜,A24,man striking with both hands,teach lesson or instruct (sbꜣ),,,,
𓀜,A24,man striking with both hands,call (njs),,,,
𓀜,A24,man striking with both hands,be happy (ḥꜥj),,,,
𓀝,A25,"man striking, with left arm hanging behind back",to hit or strike (ḥwj),,,,
𓀝,A25,"man striking, with left arm hanging behind back",to hit or strike (ḥwj),,,,
𓀞,A26,man with one arm pointing forward,"call (njs, Ꜥš)",,,,
𓀞,A26,man with one arm pointing forward,"call (njs, Ꜥš)",,,,
𓀟,A27,hastening man,bring (jnj),,,,
𓀟,A27,hastening man,bring (jnj),,,,
𓀠,A28,man with hands raised on either side,"to be high, in high spirits, elevate (qꜣj)",,,,
𓀠,A28,man with hands raised on either side,mourn (ḥꜣj),,,,
𓀡,A29,man upside down,headlong or head over heels (sḫd),,,,
𓀡,A29,man upside down,headlong or head over heels (sḫd),,,,
𓀢,A30,man with hands raised in front,"praise, adore, laud, thank (dwꜣ)",,,,
𓀢,A30,man with hands raised in front,"praise, adore, laud, thank (dwꜣ)",,,,
𓀣,A31,man with hands raised behind him,to turn away (Ꜥn),,,,
𓀣,A31,man with hands raised behind him,to turn away (Ꜥn),,,,
𓀤,A32,man dancing with arms to the back,dance (ḫbj),,,,
𓀤,A32,man dancing with arms to the back,"cheer, rejoice (hy-hnw)",,,,
𓀤,A32,man dancing with arms to the back,"dance, dancer (jb)",,,,
𓀥,A32A,man dancing with arms to the front,"dance, dancer (jb)",,,,
𓀥,A32A,man dancing with arms to the front,"dance, dancer (jb)",,,,
𓀦,A33,man with stick and bundle on shoulder,"to herd, shepherd (mnjw)",,,,
𓀦,A33,man with stick and bundle on shoulder,"journey, tramp (ḫwsj)",,,,
𓀦,A33,man with stick and bundle on shoulder,"construction, (qd)",,,,
𓀦,A33,man with stick and bundle on shoulder,"foreign, strange(šmꜣw)",,,,
𓀧,A34,man pounding in a mortar,to stomp (ḫwsj),,,,
𓀧,A34,man pounding in a mortar,to stomp (ḫwsj),,,,
𓀨,A35,man building wall,to build (qd),,,,
𓀨,A35,man building wall,to build (qd),,,,
𓀩,A36,man kneading into vessel,brewer (ꜥftj),,,,
𓀩,A36,man kneading into vessel,grind (nḏ),,,,
𓀪,A37,man in vessel,brewer (ꜥftj),,,,
𓀪,A37,man in vessel,brewer (ꜥftj),,,,
𓀫,A38,man holding necks of two emblematic animals with panther heads,Cusae (qjs),,,,
